2018,August,1405796
2018,December,459008
2018,July,926487
2018,November,329365
2018,October,694218
2018,September,1070570
2019,April,1125081
2019,August,3270439
2019,December,1054454
2019,February,600807
2019,January,340306
2019,July,2681614
2019,June,1409564
2019,March,972967
2019,May,1248959
2019,November,943479
2019,October,1453357
2019,September,1809813
2020,April,1662076
2020,August,3131402
2020,February,872758
2020,January,739364
2020,July,2842012
2020,June,2086781
2020,March,1075718
2020,May,1874099
