Complementary,2018,877
Corporate,2018,116431.15
Direct,2018,769208.46
Groups,2018,226095.45
Offline TA/TO,2018,1035971.83
Online TA,2018,1615232.47
Aviation,2019,38730
Complementary,2019,2642
Corporate,2019,239465.55
Direct,2019,1713990.88
Groups,2019,368212.25
Offline TA/TO,2019,2320872.4
Online TA,2019,6257189.21999996
Aviation,2020,30238.36
Complementary,2020,1285.53
Corporate,2020,129784.94
Direct,2020,1584206.39
Groups,2020,330878.47
Offline TA/TO,2020,1395273.27
Online TA,2020,5353149.50000001
